Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
GMM Parameters - n_components: 2, Covariance Type: full, File: set1.csv, ARI: 0.1235
GMM Parameters - n_components: 34, Covariance Type: tied, File: set2.csv, ARI: 0.2494
GMM Parameters - n_components: 34, Covariance Type: diag, File: set2.csv, ARI: 0.2579
GMM Parameters - n_components: 34, Covariance Type: spherical, File: set2.csv, ARI: 0.2445
GMM Parameters - n_components: 35, Covariance Type: full, File: set2.csv, ARI: 0.2888
GMM Parameters - n_components: 35, Covariance Type: tied, File: set2.csv, ARI: 0.2532
GMM Parameters - n_components: 35, Covariance Type: diag, File: set2.csv, ARI: 0.2568
GMM Parameters - n_components: 35, Covariance Type: spherical, File: set2.csv, ARI: 0.2440
GMM Parameters - n_components: 36, Covariance Type: full, File: set2.csv, ARI: 0.2890
GMM Parameters - n_components: 36, Covariance Type: tied, File: set2.csv, ARI: 0.2535
GMM Parameters - n_components: 36, Covariance Type: diag, File: set2.csv, ARI: 0.2563
GMM Parameters - n_components: 36, Covariance Type: spherical, File: set2.csv, ARI: 0.2437
GMM Parameters - n_components: 37, Covariance Type: full, File: set2.csv, ARI: 0.2860
GMM Parameters - n_components: 37, Covariance Type: tied, File: set2.csv, ARI: 0.2483
GMM Parameters - n_components: 37, Covariance Type: diag, File: set2.csv, ARI: 0.2533
GMM Parameters - n_components: 37, Covariance Type: spherical, File: set2.csv, ARI: 0.2395
GMM Parameters - n_components: 38, Covariance Type: full, File: set2.csv, ARI: 0.2843
GMM Parameters - n_components: 38, Covariance Type: tied, File: set2.csv, ARI: 0.2491
GMM Parameters - n_components: 38, Covariance Type: diag, File: set2.csv, ARI: 0.2534
GMM Parameters - n_components: 38, Covariance Type: spherical, File: set2.csv, ARI: 0.2395
GMM Parameters - n_components: 39, Covariance Type: full, File: set2.csv, ARI: 0.2814
GMM Parameters - n_components: 39, Covariance Type: tied, File: set2.csv, ARI: 0.2582
GMM Parameters - n_components: 39, Covariance Type: diag, File: set2.csv, ARI: 0.2601
GMM Parameters - n_components: 39, Covariance Type: spherical, File: set2.csv, ARI: 0.2438
GMM Parameters - n_components: 40, Covariance Type: full, File: set2.csv, ARI: 0.2667
GMM Parameters - n_components: 40, Covariance Type: tied, File: set2.csv, ARI: 0.2432
GMM Parameters - n_components: 40, Covariance Type: diag, File: set2.csv, ARI: 0.2428
GMM Parameters - n_components: 40, Covariance Type: spherical, File: set2.csv, ARI: 0.2297
GMM Parameters - n_components: 41, Covariance Type: full, File: set2.csv, ARI: 0.2630
GMM Parameters - n_components: 41, Covariance Type: tied, File: set2.csv, ARI: 0.2366
GMM Parameters - n_components: 41, Covariance Type: diag, File: set2.csv, ARI: 0.2379
GMM Parameters - n_components: 41, Covariance Type: spherical, File: set2.csv, ARI: 0.2264
GMM Parameters - n_components: 42, Covariance Type: full, File: set2.csv, ARI: 0.2450
GMM Parameters - n_components: 42, Covariance Type: tied, File: set2.csv, ARI: 0.2416
GMM Parameters - n_components: 42, Covariance Type: diag, File: set2.csv, ARI: 0.2379
GMM Parameters - n_components: 42, Covariance Type: spherical, File: set2.csv, ARI: 0.2332
GMM Parameters - n_components: 43, Covariance Type: full, File: set2.csv, ARI: 0.2465
GMM Parameters - n_components: 43, Covariance Type: tied, File: set2.csv, ARI: 0.2414
GMM Parameters - n_components: 43, Covariance Type: diag, File: set2.csv, ARI: 0.2378
GMM Parameters - n_components: 43, Covariance Type: spherical, File: set2.csv, ARI: 0.2325
GMM Parameters - n_components: 44, Covariance Type: full, File: set2.csv, ARI: 0.2444
GMM Parameters - n_components: 44, Covariance Type: tied, File: set2.csv, ARI: 0.2371
GMM Parameters - n_components: 44, Covariance Type: diag, File: set2.csv, ARI: 0.2356
GMM Parameters - n_components: 44, Covariance Type: spherical, File: set2.csv, ARI: 0.2295
GMM Parameters - n_components: 45, Covariance Type: full, File: set2.csv, ARI: 0.2439
GMM Parameters - n_components: 45, Covariance Type: tied, File: set2.csv, ARI: 0.2368
GMM Parameters - n_components: 45, Covariance Type: diag, File: set2.csv, ARI: 0.2353
GMM Parameters - n_components: 45, Covariance Type: spherical, File: set2.csv, ARI: 0.2288
GMM Parameters - n_components: 46, Covariance Type: full, File: set2.csv, ARI: 0.2455
GMM Parameters - n_components: 46, Covariance Type: tied, File: set2.csv, ARI: 0.2362
GMM Parameters - n_components: 46, Covariance Type: diag, File: set2.csv, ARI: 0.2369
GMM Parameters - n_components: 46, Covariance Type: spherical, File: set2.csv, ARI: 0.2289
GMM Parameters - n_components: 47, Covariance Type: full, File: set2.csv, ARI: 0.2391
GMM Parameters - n_components: 47, Covariance Type: tied, File: set2.csv, ARI: 0.2320
GMM Parameters - n_components: 47, Covariance Type: diag, File: set2.csv, ARI: 0.2321
GMM Parameters - n_components: 47, Covariance Type: spherical, File: set2.csv, ARI: 0.2246
GMM Parameters - n_components: 48, Covariance Type: full, File: set2.csv, ARI: 0.2370
GMM Parameters - n_components: 48, Covariance Type: tied, File: set2.csv, ARI: 0.2304
GMM Parameters - n_components: 48, Covariance Type: diag, File: set2.csv, ARI: 0.2301
GMM Parameters - n_components: 48, Covariance Type: spherical, File: set2.csv, ARI: 0.2236
GMM Parameters - n_components: 49, Covariance Type: full, File: set2.csv, ARI: 0.2365
GMM Parameters - n_components: 49, Covariance Type: tied, File: set2.csv, ARI: 0.2296
GMM Parameters - n_components: 49, Covariance Type: diag, File: set2.csv, ARI: 0.2301
GMM Parameters - n_components: 49, Covariance Type: spherical, File: set2.csv, ARI: 0.2232
