Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
BIRCH Parameters - n_clusters: 2, Threshold: 0.10, File: set1.csv, ARI: 0.0162
BIRCH Parameters - n_clusters: 60, Threshold: 0.50, File: set1.csv, ARI: 0.2352
BIRCH Parameters - n_clusters: 61, Threshold: 0.10, File: set1.csv, ARI: 0.1870
BIRCH Parameters - n_clusters: 61, Threshold: 0.20, File: set1.csv, ARI: 0.2218
BIRCH Parameters - n_clusters: 61, Threshold: 0.30, File: set1.csv, ARI: 0.1753
BIRCH Parameters - n_clusters: 61, Threshold: 0.40, File: set1.csv, ARI: 0.2368
BIRCH Parameters - n_clusters: 61, Threshold: 0.50, File: set1.csv, ARI: 0.2352
BIRCH Parameters - n_clusters: 62, Threshold: 0.10, File: set1.csv, ARI: 0.1870
BIRCH Parameters - n_clusters: 62, Threshold: 0.20, File: set1.csv, ARI: 0.2203
BIRCH Parameters - n_clusters: 62, Threshold: 0.30, File: set1.csv, ARI: 0.1769
BIRCH Parameters - n_clusters: 62, Threshold: 0.40, File: set1.csv, ARI: 0.2364
BIRCH Parameters - n_clusters: 62, Threshold: 0.50, File: set1.csv, ARI: 0.2352
BIRCH Parameters - n_clusters: 63, Threshold: 0.10, File: set1.csv, ARI: 0.1801
BIRCH Parameters - n_clusters: 63, Threshold: 0.20, File: set1.csv, ARI: 0.2089
BIRCH Parameters - n_clusters: 63, Threshold: 0.30, File: set1.csv, ARI: 0.1769
BIRCH Parameters - n_clusters: 63, Threshold: 0.40, File: set1.csv, ARI: 0.2364
BIRCH Parameters - n_clusters: 63, Threshold: 0.50, File: set1.csv, ARI: 0.2340
BIRCH Parameters - n_clusters: 64, Threshold: 0.10, File: set1.csv, ARI: 0.1807
BIRCH Parameters - n_clusters: 64, Threshold: 0.20, File: set1.csv, ARI: 0.2089
BIRCH Parameters - n_clusters: 64, Threshold: 0.30, File: set1.csv, ARI: 0.1764
BIRCH Parameters - n_clusters: 64, Threshold: 0.40, File: set1.csv, ARI: 0.2362
BIRCH Parameters - n_clusters: 64, Threshold: 0.50, File: set1.csv, ARI: 0.2339
BIRCH Parameters - n_clusters: 65, Threshold: 0.10, File: set1.csv, ARI: 0.1783
BIRCH Parameters - n_clusters: 65, Threshold: 0.20, File: set1.csv, ARI: 0.2089
BIRCH Parameters - n_clusters: 65, Threshold: 0.30, File: set1.csv, ARI: 0.1762
BIRCH Parameters - n_clusters: 65, Threshold: 0.40, File: set1.csv, ARI: 0.2360
BIRCH Parameters - n_clusters: 65, Threshold: 0.50, File: set1.csv, ARI: 0.2339
BIRCH Parameters - n_clusters: 66, Threshold: 0.10, File: set1.csv, ARI: 0.1673
BIRCH Parameters - n_clusters: 66, Threshold: 0.20, File: set1.csv, ARI: 0.2089
BIRCH Parameters - n_clusters: 66, Threshold: 0.30, File: set1.csv, ARI: 0.1762
BIRCH Parameters - n_clusters: 66, Threshold: 0.40, File: set1.csv, ARI: 0.2345
BIRCH Parameters - n_clusters: 66, Threshold: 0.50, File: set1.csv, ARI: 0.2251
BIRCH Parameters - n_clusters: 67, Threshold: 0.10, File: set1.csv, ARI: 0.1673
BIRCH Parameters - n_clusters: 67, Threshold: 0.20, File: set1.csv, ARI: 0.2096
BIRCH Parameters - n_clusters: 67, Threshold: 0.30, File: set1.csv, ARI: 0.1762
BIRCH Parameters - n_clusters: 67, Threshold: 0.40, File: set1.csv, ARI: 0.2346
BIRCH Parameters - n_clusters: 67, Threshold: 0.50, File: set1.csv, ARI: 0.2251
BIRCH Parameters - n_clusters: 68, Threshold: 0.10, File: set1.csv, ARI: 0.1672
BIRCH Parameters - n_clusters: 68, Threshold: 0.20, File: set1.csv, ARI: 0.2096
BIRCH Parameters - n_clusters: 68, Threshold: 0.30, File: set1.csv, ARI: 0.1763
BIRCH Parameters - n_clusters: 68, Threshold: 0.40, File: set1.csv, ARI: 0.2344
BIRCH Parameters - n_clusters: 68, Threshold: 0.50, File: set1.csv, ARI: 0.2125
BIRCH Parameters - n_clusters: 69, Threshold: 0.10, File: set1.csv, ARI: 0.1668
BIRCH Parameters - n_clusters: 69, Threshold: 0.20, File: set1.csv, ARI: 0.2097
BIRCH Parameters - n_clusters: 69, Threshold: 0.30, File: set1.csv, ARI: 0.1763
BIRCH Parameters - n_clusters: 69, Threshold: 0.40, File: set1.csv, ARI: 0.2286
BIRCH Parameters - n_clusters: 69, Threshold: 0.50, File: set1.csv, ARI: 0.2124
BIRCH Parameters - n_clusters: 2, Threshold: 0.10, File: set2.csv, ARI: 0.0519
BIRCH Parameters - n_clusters: 2, Threshold: 0.20, File: set2.csv, ARI: 0.0307
BIRCH Parameters - n_clusters: 2, Threshold: 0.30, File: set2.csv, ARI: 0.0253
BIRCH Parameters - n_clusters: 2, Threshold: 0.40, File: set2.csv, ARI: 0.0259
BIRCH Parameters - n_clusters: 2, Threshold: 0.50, File: set2.csv, ARI: 0.0474
BIRCH Parameters - n_clusters: 3, Threshold: 0.10, File: set2.csv, ARI: 0.0918
BIRCH Parameters - n_clusters: 3, Threshold: 0.20, File: set2.csv, ARI: 0.0852
BIRCH Parameters - n_clusters: 3, Threshold: 0.30, File: set2.csv, ARI: 0.0915
BIRCH Parameters - n_clusters: 3, Threshold: 0.40, File: set2.csv, ARI: 0.0767
BIRCH Parameters - n_clusters: 3, Threshold: 0.50, File: set2.csv, ARI: 0.0819
BIRCH Parameters - n_clusters: 4, Threshold: 0.10, File: set2.csv, ARI: 0.2668
BIRCH Parameters - n_clusters: 4, Threshold: 0.20, File: set2.csv, ARI: 0.2637
BIRCH Parameters - n_clusters: 4, Threshold: 0.30, File: set2.csv, ARI: 0.0919
BIRCH Parameters - n_clusters: 4, Threshold: 0.40, File: set2.csv, ARI: 0.2517
BIRCH Parameters - n_clusters: 4, Threshold: 0.50, File: set2.csv, ARI: 0.2580
BIRCH Parameters - n_clusters: 5, Threshold: 0.10, File: set2.csv, ARI: 0.2887
BIRCH Parameters - n_clusters: 5, Threshold: 0.20, File: set2.csv, ARI: 0.2647
BIRCH Parameters - n_clusters: 5, Threshold: 0.30, File: set2.csv, ARI: 0.2650
BIRCH Parameters - n_clusters: 5, Threshold: 0.40, File: set2.csv, ARI: 0.2521
BIRCH Parameters - n_clusters: 5, Threshold: 0.50, File: set2.csv, ARI: 0.2586
BIRCH Parameters - n_clusters: 6, Threshold: 0.10, File: set2.csv, ARI: 0.2902
BIRCH Parameters - n_clusters: 6, Threshold: 0.20, File: set2.csv, ARI: 0.2873
BIRCH Parameters - n_clusters: 6, Threshold: 0.30, File: set2.csv, ARI: 0.2641
BIRCH Parameters - n_clusters: 6, Threshold: 0.40, File: set2.csv, ARI: 0.2737
BIRCH Parameters - n_clusters: 6, Threshold: 0.50, File: set2.csv, ARI: 0.2807
BIRCH Parameters - n_clusters: 7, Threshold: 0.10, File: set2.csv, ARI: 0.2922
BIRCH Parameters - n_clusters: 7, Threshold: 0.20, File: set2.csv, ARI: 0.2890
BIRCH Parameters - n_clusters: 7, Threshold: 0.30, File: set2.csv, ARI: 0.4258
BIRCH Parameters - n_clusters: 7, Threshold: 0.40, File: set2.csv, ARI: 0.2753
BIRCH Parameters - n_clusters: 7, Threshold: 0.50, File: set2.csv, ARI: 0.3343
BIRCH Parameters - n_clusters: 8, Threshold: 0.10, File: set2.csv, ARI: 0.3284
BIRCH Parameters - n_clusters: 8, Threshold: 0.20, File: set2.csv, ARI: 0.2889
BIRCH Parameters - n_clusters: 8, Threshold: 0.30, File: set2.csv, ARI: 0.4268
BIRCH Parameters - n_clusters: 8, Threshold: 0.40, File: set2.csv, ARI: 0.3267
BIRCH Parameters - n_clusters: 8, Threshold: 0.50, File: set2.csv, ARI: 0.3364
BIRCH Parameters - n_clusters: 9, Threshold: 0.10, File: set2.csv, ARI: 0.4923
BIRCH Parameters - n_clusters: 9, Threshold: 0.20, File: set2.csv, ARI: 0.2868
BIRCH Parameters - n_clusters: 9, Threshold: 0.30, File: set2.csv, ARI: 0.4255
BIRCH Parameters - n_clusters: 9, Threshold: 0.40, File: set2.csv, ARI: 0.4982
BIRCH Parameters - n_clusters: 9, Threshold: 0.50, File: set2.csv, ARI: 0.3341
BIRCH Parameters - n_clusters: 10, Threshold: 0.10, File: set2.csv, ARI: 0.4924
BIRCH Parameters - n_clusters: 10, Threshold: 0.20, File: set2.csv, ARI: 0.4195
BIRCH Parameters - n_clusters: 10, Threshold: 0.30, File: set2.csv, ARI: 0.4817
BIRCH Parameters - n_clusters: 10, Threshold: 0.40, File: set2.csv, ARI: 0.4962
BIRCH Parameters - n_clusters: 10, Threshold: 0.50, File: set2.csv, ARI: 0.5006
BIRCH Parameters - n_clusters: 11, Threshold: 0.10, File: set2.csv, ARI: 0.4895
BIRCH Parameters - n_clusters: 11, Threshold: 0.20, File: set2.csv, ARI: 0.4996
BIRCH Parameters - n_clusters: 11, Threshold: 0.30, File: set2.csv, ARI: 0.4879
BIRCH Parameters - n_clusters: 11, Threshold: 0.40, File: set2.csv, ARI: 0.4964
BIRCH Parameters - n_clusters: 11, Threshold: 0.50, File: set2.csv, ARI: 0.5008
BIRCH Parameters - n_clusters: 12, Threshold: 0.10, File: set2.csv, ARI: 0.4903
BIRCH Parameters - n_clusters: 12, Threshold: 0.20, File: set2.csv, ARI: 0.4996
BIRCH Parameters - n_clusters: 12, Threshold: 0.30, File: set2.csv, ARI: 0.4881
BIRCH Parameters - n_clusters: 12, Threshold: 0.40, File: set2.csv, ARI: 0.4964
BIRCH Parameters - n_clusters: 12, Threshold: 0.50, File: set2.csv, ARI: 0.5008
BIRCH Parameters - n_clusters: 13, Threshold: 0.10, File: set2.csv, ARI: 0.4896
BIRCH Parameters - n_clusters: 13, Threshold: 0.20, File: set2.csv, ARI: 0.5002
BIRCH Parameters - n_clusters: 13, Threshold: 0.30, File: set2.csv, ARI: 0.4975
BIRCH Parameters - n_clusters: 13, Threshold: 0.40, File: set2.csv, ARI: 0.5142
BIRCH Parameters - n_clusters: 13, Threshold: 0.50, File: set2.csv, ARI: 0.5014
BIRCH Parameters - n_clusters: 14, Threshold: 0.10, File: set2.csv, ARI: 0.4887
BIRCH Parameters - n_clusters: 14, Threshold: 0.20, File: set2.csv, ARI: 0.4990
BIRCH Parameters - n_clusters: 14, Threshold: 0.30, File: set2.csv, ARI: 0.4962
BIRCH Parameters - n_clusters: 14, Threshold: 0.40, File: set2.csv, ARI: 0.5147
BIRCH Parameters - n_clusters: 14, Threshold: 0.50, File: set2.csv, ARI: 0.5014
BIRCH Parameters - n_clusters: 15, Threshold: 0.10, File: set2.csv, ARI: 0.4883
BIRCH Parameters - n_clusters: 15, Threshold: 0.20, File: set2.csv, ARI: 0.5782
BIRCH Parameters - n_clusters: 15, Threshold: 0.30, File: set2.csv, ARI: 0.4963
BIRCH Parameters - n_clusters: 15, Threshold: 0.40, File: set2.csv, ARI: 0.3818
BIRCH Parameters - n_clusters: 15, Threshold: 0.50, File: set2.csv, ARI: 0.5564
BIRCH Parameters - n_clusters: 16, Threshold: 0.10, File: set2.csv, ARI: 0.4883
BIRCH Parameters - n_clusters: 16, Threshold: 0.20, File: set2.csv, ARI: 0.5774
BIRCH Parameters - n_clusters: 16, Threshold: 0.30, File: set2.csv, ARI: 0.4968
BIRCH Parameters - n_clusters: 16, Threshold: 0.40, File: set2.csv, ARI: 0.3810
BIRCH Parameters - n_clusters: 16, Threshold: 0.50, File: set2.csv, ARI: 0.5565
BIRCH Parameters - n_clusters: 17, Threshold: 0.10, File: set2.csv, ARI: 0.4876
BIRCH Parameters - n_clusters: 17, Threshold: 0.20, File: set2.csv, ARI: 0.5773
BIRCH Parameters - n_clusters: 17, Threshold: 0.30, File: set2.csv, ARI: 0.3804
BIRCH Parameters - n_clusters: 17, Threshold: 0.40, File: set2.csv, ARI: 0.3802
BIRCH Parameters - n_clusters: 17, Threshold: 0.50, File: set2.csv, ARI: 0.5564
BIRCH Parameters - n_clusters: 18, Threshold: 0.10, File: set2.csv, ARI: 0.3521
BIRCH Parameters - n_clusters: 18, Threshold: 0.20, File: set2.csv, ARI: 0.4415
BIRCH Parameters - n_clusters: 18, Threshold: 0.30, File: set2.csv, ARI: 0.3804
BIRCH Parameters - n_clusters: 18, Threshold: 0.40, File: set2.csv, ARI: 0.3802
BIRCH Parameters - n_clusters: 18, Threshold: 0.50, File: set2.csv, ARI: 0.5699
BIRCH Parameters - n_clusters: 19, Threshold: 0.10, File: set2.csv, ARI: 0.3514
BIRCH Parameters - n_clusters: 19, Threshold: 0.20, File: set2.csv, ARI: 0.4412
BIRCH Parameters - n_clusters: 19, Threshold: 0.30, File: set2.csv, ARI: 0.3800
BIRCH Parameters - n_clusters: 19, Threshold: 0.40, File: set2.csv, ARI: 0.3803
BIRCH Parameters - n_clusters: 19, Threshold: 0.50, File: set2.csv, ARI: 0.5691
BIRCH Parameters - n_clusters: 20, Threshold: 0.10, File: set2.csv, ARI: 0.3735
BIRCH Parameters - n_clusters: 20, Threshold: 0.20, File: set2.csv, ARI: 0.4412
BIRCH Parameters - n_clusters: 20, Threshold: 0.30, File: set2.csv, ARI: 0.3841
BIRCH Parameters - n_clusters: 20, Threshold: 0.40, File: set2.csv, ARI: 0.3803
BIRCH Parameters - n_clusters: 20, Threshold: 0.50, File: set2.csv, ARI: 0.5715
BIRCH Parameters - n_clusters: 21, Threshold: 0.10, File: set2.csv, ARI: 0.3938
BIRCH Parameters - n_clusters: 21, Threshold: 0.20, File: set2.csv, ARI: 0.4461
BIRCH Parameters - n_clusters: 21, Threshold: 0.30, File: set2.csv, ARI: 0.3837
BIRCH Parameters - n_clusters: 21, Threshold: 0.40, File: set2.csv, ARI: 0.3832
BIRCH Parameters - n_clusters: 21, Threshold: 0.50, File: set2.csv, ARI: 0.5715
BIRCH Parameters - n_clusters: 22, Threshold: 0.10, File: set2.csv, ARI: 0.3936
BIRCH Parameters - n_clusters: 22, Threshold: 0.20, File: set2.csv, ARI: 0.4461
BIRCH Parameters - n_clusters: 22, Threshold: 0.30, File: set2.csv, ARI: 0.3838
BIRCH Parameters - n_clusters: 22, Threshold: 0.40, File: set2.csv, ARI: 0.3827
BIRCH Parameters - n_clusters: 22, Threshold: 0.50, File: set2.csv, ARI: 0.5707
BIRCH Parameters - n_clusters: 23, Threshold: 0.10, File: set2.csv, ARI: 0.4230
BIRCH Parameters - n_clusters: 23, Threshold: 0.20, File: set2.csv, ARI: 0.4345
BIRCH Parameters - n_clusters: 23, Threshold: 0.30, File: set2.csv, ARI: 0.3838
BIRCH Parameters - n_clusters: 23, Threshold: 0.40, File: set2.csv, ARI: 0.3943
BIRCH Parameters - n_clusters: 23, Threshold: 0.50, File: set2.csv, ARI: 0.4380
BIRCH Parameters - n_clusters: 24, Threshold: 0.10, File: set2.csv, ARI: 0.4227
BIRCH Parameters - n_clusters: 24, Threshold: 0.20, File: set2.csv, ARI: 0.4363
BIRCH Parameters - n_clusters: 24, Threshold: 0.30, File: set2.csv, ARI: 0.3836
BIRCH Parameters - n_clusters: 24, Threshold: 0.40, File: set2.csv, ARI: 0.4321
BIRCH Parameters - n_clusters: 24, Threshold: 0.50, File: set2.csv, ARI: 0.4380
BIRCH Parameters - n_clusters: 25, Threshold: 0.10, File: set2.csv, ARI: 0.4227
BIRCH Parameters - n_clusters: 25, Threshold: 0.20, File: set2.csv, ARI: 0.4364
BIRCH Parameters - n_clusters: 25, Threshold: 0.30, File: set2.csv, ARI: 0.4153
BIRCH Parameters - n_clusters: 25, Threshold: 0.40, File: set2.csv, ARI: 0.4323
BIRCH Parameters - n_clusters: 25, Threshold: 0.50, File: set2.csv, ARI: 0.4375
BIRCH Parameters - n_clusters: 26, Threshold: 0.10, File: set2.csv, ARI: 0.4227
BIRCH Parameters - n_clusters: 26, Threshold: 0.20, File: set2.csv, ARI: 0.4358
BIRCH Parameters - n_clusters: 26, Threshold: 0.30, File: set2.csv, ARI: 0.3927
BIRCH Parameters - n_clusters: 26, Threshold: 0.40, File: set2.csv, ARI: 0.4348
BIRCH Parameters - n_clusters: 26, Threshold: 0.50, File: set2.csv, ARI: 0.4388
BIRCH Parameters - n_clusters: 27, Threshold: 0.10, File: set2.csv, ARI: 0.4320
BIRCH Parameters - n_clusters: 27, Threshold: 0.20, File: set2.csv, ARI: 0.4356
BIRCH Parameters - n_clusters: 27, Threshold: 0.30, File: set2.csv, ARI: 0.4133
BIRCH Parameters - n_clusters: 27, Threshold: 0.40, File: set2.csv, ARI: 0.4342
BIRCH Parameters - n_clusters: 27, Threshold: 0.50, File: set2.csv, ARI: 0.4386
BIRCH Parameters - n_clusters: 28, Threshold: 0.10, File: set2.csv, ARI: 0.4323
BIRCH Parameters - n_clusters: 28, Threshold: 0.20, File: set2.csv, ARI: 0.4356
BIRCH Parameters - n_clusters: 28, Threshold: 0.30, File: set2.csv, ARI: 0.4132
BIRCH Parameters - n_clusters: 28, Threshold: 0.40, File: set2.csv, ARI: 0.4342
BIRCH Parameters - n_clusters: 28, Threshold: 0.50, File: set2.csv, ARI: 0.4384
BIRCH Parameters - n_clusters: 29, Threshold: 0.10, File: set2.csv, ARI: 0.4331
BIRCH Parameters - n_clusters: 29, Threshold: 0.20, File: set2.csv, ARI: 0.4466
BIRCH Parameters - n_clusters: 29, Threshold: 0.30, File: set2.csv, ARI: 0.4132
BIRCH Parameters - n_clusters: 29, Threshold: 0.40, File: set2.csv, ARI: 0.4339
BIRCH Parameters - n_clusters: 29, Threshold: 0.50, File: set2.csv, ARI: 0.4422
BIRCH Parameters - n_clusters: 30, Threshold: 0.10, File: set2.csv, ARI: 0.4131
BIRCH Parameters - n_clusters: 30, Threshold: 0.20, File: set2.csv, ARI: 0.4470
BIRCH Parameters - n_clusters: 30, Threshold: 0.30, File: set2.csv, ARI: 0.4341
BIRCH Parameters - n_clusters: 30, Threshold: 0.40, File: set2.csv, ARI: 0.4348
BIRCH Parameters - n_clusters: 30, Threshold: 0.50, File: set2.csv, ARI: 0.4427
BIRCH Parameters - n_clusters: 31, Threshold: 0.10, File: set2.csv, ARI: 0.4131
BIRCH Parameters - n_clusters: 31, Threshold: 0.20, File: set2.csv, ARI: 0.4268
BIRCH Parameters - n_clusters: 31, Threshold: 0.30, File: set2.csv, ARI: 0.4339
BIRCH Parameters - n_clusters: 31, Threshold: 0.40, File: set2.csv, ARI: 0.4344
BIRCH Parameters - n_clusters: 31, Threshold: 0.50, File: set2.csv, ARI: 0.4422
BIRCH Parameters - n_clusters: 32, Threshold: 0.10, File: set2.csv, ARI: 0.4160
BIRCH Parameters - n_clusters: 32, Threshold: 0.20, File: set2.csv, ARI: 0.4265
BIRCH Parameters - n_clusters: 32, Threshold: 0.30, File: set2.csv, ARI: 0.4346
BIRCH Parameters - n_clusters: 32, Threshold: 0.40, File: set2.csv, ARI: 0.4343
BIRCH Parameters - n_clusters: 32, Threshold: 0.50, File: set2.csv, ARI: 0.4323
BIRCH Parameters - n_clusters: 33, Threshold: 0.10, File: set2.csv, ARI: 0.4158
BIRCH Parameters - n_clusters: 33, Threshold: 0.20, File: set2.csv, ARI: 0.4261
BIRCH Parameters - n_clusters: 33, Threshold: 0.30, File: set2.csv, ARI: 0.4346
BIRCH Parameters - n_clusters: 33, Threshold: 0.40, File: set2.csv, ARI: 0.4121
BIRCH Parameters - n_clusters: 33, Threshold: 0.50, File: set2.csv, ARI: 0.3596
BIRCH Parameters - n_clusters: 34, Threshold: 0.10, File: set2.csv, ARI: 0.4152
BIRCH Parameters - n_clusters: 34, Threshold: 0.20, File: set2.csv, ARI: 0.4266
BIRCH Parameters - n_clusters: 34, Threshold: 0.30, File: set2.csv, ARI: 0.4344
BIRCH Parameters - n_clusters: 34, Threshold: 0.40, File: set2.csv, ARI: 0.4121
BIRCH Parameters - n_clusters: 34, Threshold: 0.50, File: set2.csv, ARI: 0.3596
BIRCH Parameters - n_clusters: 35, Threshold: 0.10, File: set2.csv, ARI: 0.4152
BIRCH Parameters - n_clusters: 35, Threshold: 0.20, File: set2.csv, ARI: 0.4266
BIRCH Parameters - n_clusters: 35, Threshold: 0.30, File: set2.csv, ARI: 0.4427
BIRCH Parameters - n_clusters: 35, Threshold: 0.40, File: set2.csv, ARI: 0.4120
BIRCH Parameters - n_clusters: 35, Threshold: 0.50, File: set2.csv, ARI: 0.3659
BIRCH Parameters - n_clusters: 36, Threshold: 0.10, File: set2.csv, ARI: 0.4152
BIRCH Parameters - n_clusters: 36, Threshold: 0.20, File: set2.csv, ARI: 0.4264
BIRCH Parameters - n_clusters: 36, Threshold: 0.30, File: set2.csv, ARI: 0.3603
BIRCH Parameters - n_clusters: 36, Threshold: 0.40, File: set2.csv, ARI: 0.4118
BIRCH Parameters - n_clusters: 36, Threshold: 0.50, File: set2.csv, ARI: 0.3654
BIRCH Parameters - n_clusters: 37, Threshold: 0.10, File: set2.csv, ARI: 0.4152
BIRCH Parameters - n_clusters: 37, Threshold: 0.20, File: set2.csv, ARI: 0.4264
BIRCH Parameters - n_clusters: 37, Threshold: 0.30, File: set2.csv, ARI: 0.3603
BIRCH Parameters - n_clusters: 37, Threshold: 0.40, File: set2.csv, ARI: 0.4113
BIRCH Parameters - n_clusters: 37, Threshold: 0.50, File: set2.csv, ARI: 0.3653
BIRCH Parameters - n_clusters: 38, Threshold: 0.10, File: set2.csv, ARI: 0.4147
BIRCH Parameters - n_clusters: 38, Threshold: 0.20, File: set2.csv, ARI: 0.4263
BIRCH Parameters - n_clusters: 38, Threshold: 0.30, File: set2.csv, ARI: 0.3601
BIRCH Parameters - n_clusters: 38, Threshold: 0.40, File: set2.csv, ARI: 0.3989
BIRCH Parameters - n_clusters: 38, Threshold: 0.50, File: set2.csv, ARI: 0.3653
BIRCH Parameters - n_clusters: 39, Threshold: 0.10, File: set2.csv, ARI: 0.3578
BIRCH Parameters - n_clusters: 39, Threshold: 0.20, File: set2.csv, ARI: 0.4264
BIRCH Parameters - n_clusters: 39, Threshold: 0.30, File: set2.csv, ARI: 0.3600
BIRCH Parameters - n_clusters: 39, Threshold: 0.40, File: set2.csv, ARI: 0.3989
BIRCH Parameters - n_clusters: 39, Threshold: 0.50, File: set2.csv, ARI: 0.3650
BIRCH Parameters - n_clusters: 40, Threshold: 0.10, File: set2.csv, ARI: 0.3578
BIRCH Parameters - n_clusters: 40, Threshold: 0.20, File: set2.csv, ARI: 0.4137
BIRCH Parameters - n_clusters: 40, Threshold: 0.30, File: set2.csv, ARI: 0.3595
BIRCH Parameters - n_clusters: 40, Threshold: 0.40, File: set2.csv, ARI: 0.3919
BIRCH Parameters - n_clusters: 40, Threshold: 0.50, File: set2.csv, ARI: 0.3649
BIRCH Parameters - n_clusters: 41, Threshold: 0.10, File: set2.csv, ARI: 0.3578
BIRCH Parameters - n_clusters: 41, Threshold: 0.20, File: set2.csv, ARI: 0.4132
BIRCH Parameters - n_clusters: 41, Threshold: 0.30, File: set2.csv, ARI: 0.3625
BIRCH Parameters - n_clusters: 41, Threshold: 0.40, File: set2.csv, ARI: 0.3248
BIRCH Parameters - n_clusters: 41, Threshold: 0.50, File: set2.csv, ARI: 0.3649
BIRCH Parameters - n_clusters: 42, Threshold: 0.10, File: set2.csv, ARI: 0.3517
BIRCH Parameters - n_clusters: 42, Threshold: 0.20, File: set2.csv, ARI: 0.4131
BIRCH Parameters - n_clusters: 42, Threshold: 0.30, File: set2.csv, ARI: 0.3625
BIRCH Parameters - n_clusters: 42, Threshold: 0.40, File: set2.csv, ARI: 0.3248
BIRCH Parameters - n_clusters: 42, Threshold: 0.50, File: set2.csv, ARI: 0.3454
BIRCH Parameters - n_clusters: 43, Threshold: 0.10, File: set2.csv, ARI: 0.3515
BIRCH Parameters - n_clusters: 43, Threshold: 0.20, File: set2.csv, ARI: 0.3450
BIRCH Parameters - n_clusters: 43, Threshold: 0.30, File: set2.csv, ARI: 0.3623
BIRCH Parameters - n_clusters: 43, Threshold: 0.40, File: set2.csv, ARI: 0.3247
BIRCH Parameters - n_clusters: 43, Threshold: 0.50, File: set2.csv, ARI: 0.3448
BIRCH Parameters - n_clusters: 44, Threshold: 0.10, File: set2.csv, ARI: 0.3515
BIRCH Parameters - n_clusters: 44, Threshold: 0.20, File: set2.csv, ARI: 0.3468
BIRCH Parameters - n_clusters: 44, Threshold: 0.30, File: set2.csv, ARI: 0.3618
BIRCH Parameters - n_clusters: 44, Threshold: 0.40, File: set2.csv, ARI: 0.3405
BIRCH Parameters - n_clusters: 44, Threshold: 0.50, File: set2.csv, ARI: 0.3448
BIRCH Parameters - n_clusters: 45, Threshold: 0.10, File: set2.csv, ARI: 0.3515
BIRCH Parameters - n_clusters: 45, Threshold: 0.20, File: set2.csv, ARI: 0.3403
BIRCH Parameters - n_clusters: 45, Threshold: 0.30, File: set2.csv, ARI: 0.3618
BIRCH Parameters - n_clusters: 45, Threshold: 0.40, File: set2.csv, ARI: 0.3404
BIRCH Parameters - n_clusters: 45, Threshold: 0.50, File: set2.csv, ARI: 0.3448
BIRCH Parameters - n_clusters: 46, Threshold: 0.10, File: set2.csv, ARI: 0.3512
BIRCH Parameters - n_clusters: 46, Threshold: 0.20, File: set2.csv, ARI: 0.3397
BIRCH Parameters - n_clusters: 46, Threshold: 0.30, File: set2.csv, ARI: 0.3616
BIRCH Parameters - n_clusters: 46, Threshold: 0.40, File: set2.csv, ARI: 0.3404
BIRCH Parameters - n_clusters: 46, Threshold: 0.50, File: set2.csv, ARI: 0.3448
BIRCH Parameters - n_clusters: 47, Threshold: 0.10, File: set2.csv, ARI: 0.3511
BIRCH Parameters - n_clusters: 47, Threshold: 0.20, File: set2.csv, ARI: 0.3397
BIRCH Parameters - n_clusters: 47, Threshold: 0.30, File: set2.csv, ARI: 0.3615
BIRCH Parameters - n_clusters: 47, Threshold: 0.40, File: set2.csv, ARI: 0.3400
BIRCH Parameters - n_clusters: 47, Threshold: 0.50, File: set2.csv, ARI: 0.3399
BIRCH Parameters - n_clusters: 48, Threshold: 0.10, File: set2.csv, ARI: 0.3509
BIRCH Parameters - n_clusters: 48, Threshold: 0.20, File: set2.csv, ARI: 0.3396
BIRCH Parameters - n_clusters: 48, Threshold: 0.30, File: set2.csv, ARI: 0.3380
BIRCH Parameters - n_clusters: 48, Threshold: 0.40, File: set2.csv, ARI: 0.3400
BIRCH Parameters - n_clusters: 48, Threshold: 0.50, File: set2.csv, ARI: 0.3399
BIRCH Parameters - n_clusters: 49, Threshold: 0.10, File: set2.csv, ARI: 0.3509
BIRCH Parameters - n_clusters: 49, Threshold: 0.20, File: set2.csv, ARI: 0.3396
BIRCH Parameters - n_clusters: 49, Threshold: 0.30, File: set2.csv, ARI: 0.3379
BIRCH Parameters - n_clusters: 49, Threshold: 0.40, File: set2.csv, ARI: 0.3400
BIRCH Parameters - n_clusters: 49, Threshold: 0.50, File: set2.csv, ARI: 0.3548
BIRCH Parameters - n_clusters: 50, Threshold: 0.10, File: set2.csv, ARI: 0.3508
BIRCH Parameters - n_clusters: 50, Threshold: 0.20, File: set2.csv, ARI: 0.3394
BIRCH Parameters - n_clusters: 50, Threshold: 0.30, File: set2.csv, ARI: 0.3379
BIRCH Parameters - n_clusters: 50, Threshold: 0.40, File: set2.csv, ARI: 0.3396
BIRCH Parameters - n_clusters: 50, Threshold: 0.50, File: set2.csv, ARI: 0.3547
BIRCH Parameters - n_clusters: 51, Threshold: 0.10, File: set2.csv, ARI: 0.3507
BIRCH Parameters - n_clusters: 51, Threshold: 0.20, File: set2.csv, ARI: 0.3390
BIRCH Parameters - n_clusters: 51, Threshold: 0.30, File: set2.csv, ARI: 0.3379
BIRCH Parameters - n_clusters: 51, Threshold: 0.40, File: set2.csv, ARI: 0.3396
